명칭,위도,경도,,,,,,,,,,,,,,,,,,,,
파이널스타디움㈜,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜프레도,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜피앤씨퍼스트,37.5935031,126.9229983,,,,,,,,,,,,,,,,,,,,
㈜케이엘큐브,37.5159865,127.0357431,,,,,,,,,,,,,,,,,,,,
㈜타노스,37.4784878,126.8642888,,,,,,,,,,,,,,,,,,,,
웨이브포인트디지털㈜,37.5082866,127.027185,,,,,,,,,,,,,,,,,,,,
㈜작당모의,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜헬퍼로보틱스,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
㈜에스티로직,37.4865347,127.1190132,,,,,,,,,,,,,,,,,,,,
㈜와이콘즈,37.5791158,126.9367789,,,,,,,,,,,,,,,,,,,,
㈜커즈모스,37.5236468,127.0399583,,,,,,,,,,,,,,,,,,,,
㈜아이버스씨앤아이,37.5512247,127.0449136,,,,,,,,,,,,,,,,,,,,
㈜알고리고,37.5099275,127.0418401,,,,,,,,,,,,,,,,,,,,
주식회사 멜릭서,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜바이오빛,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜차이코퍼레이션,37.5429587,127.0584036,,,,,,,,,,,,,,,,,,,,
㈜코스모티어,37.4770579,126.8796693,,,,,,,,,,,,,,,,,,,,
㈜메디컬오,37.5215393,127.028504,,,,,,,,,,,,,,,,,,,,
㈜마인케이,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜모트모트,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
㈜파켓에이시스,37.4720614,127.0486193,,,,,,,,,,,,,,,,,,,,
㈜에스에스티컴퍼니,37.5411199,127.1415344,,,,,,,,,,,,,,,,,,,,
㈜써머캣,37.5261931,127.0415096,,,,,,,,,,,,,,,,,,,,
㈜테크에이스솔루션,37.5146786,126.8989232,,,,,,,,,,,,,,,,,,,,
㈜유니체스트,37.5059353,127.0331659,,,,,,,,,,,,,,,,,,,,
㈜에이빌코리아,37.4813244,126.8837789,,,,,,,,,,,,,,,,,,,,
㈜아트임팩트,37.5402355,127.0550975,,,,,,,,,,,,,,,,,,,,
㈜동명엔터프라이즈,37.4906284,127.0344106,,,,,,,,,,,,,,,,,,,,
㈜지엠엑스,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
㈜핀다,37.5075512,127.0605503,,,,,,,,,,,,,,,,,,,,
㈜네트론,37.5384272,126.9654442,,,,,,,,,,,,,,,,,,,,
㈜케이원,37.4432458,126.9015372,,,,,,,,,,,,,,,,,,,,
주식회사 엑스와이지,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
㈜아비즈,37.5392646,127.2148919,,,,,,,,,,,,,,,,,,,,
㈜팟빵,37.5556064,126.9278841,,,,,,,,,,,,,,,,,,,,
㈜올링크,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜가온글로벌,,,,,,,,,,,,,,,,,,,,,,
㈜아이디랩스,37.4288474,127.0935912,,,,,,,,,,,,,,,,,,,,
㈜주식회사 인터엠디컴퍼니,37.568902,126.9853727,,,,,,,,,,,,,,,,,,,,
㈜장학디자인,37.5384272,126.9654442,,,,,,,,,,,,,,,,,,,,
㈜진짜녀석들,37.495019,127.122406,,,,,,,,,,,,,,,,,,,,
㈜링가링,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
주식회사 에듀클라우드,37.4993914,127.0343168,,,,,,,,,,,,,,,,,,,,
㈜라벨르랩,37.5026714,127.0217488,,,,,,,,,,,,,,,,,,,,
㈜소만사,37.5267877,126.9042694,,,,,,,,,,,,,,,,,,,,
㈜소울엑스,37.5168721,126.8663985,,,,,,,,,,,,,,,,,,,,
주식회사 윙잇,37.4997407,127.0400308,,,,,,,,,,,,,,,,,,,,
㈜비에프텍,37.5306885,126.8518046,,,,,,,,,,,,,,,,,,,,
㈜비트나인,37.5509786,126.8495382,,,,,,,,,,,,,,,,,,,,
㈜캠프엠앤씨,37.5787881,126.8950506,,,,,,,,,,,,,,,,,,,,
㈜참약사,37.6011247,127.0338991,,,,,,,,,,,,,,,,,,,,
㈜코디더매니저,37.5603613,126.9869397,,,,,,,,,,,,,,,,,,,,
㈜디앤시콜렉션,37.5851179,127.0885971,,,,,,,,,,,,,,,,,,,,
㈜고알레,37.5195113,127.026787,,,,,,,,,,,,,,,,,,,,
㈜자란다,37.4999269,127.0365526,,,,,,,,,,,,,,,,,,,,
㈜제이랩코스메틱,37.5462599,127.0430147,,,,,,,,,,,,,,,,,,,,
㈜오투인더스트리,37.5130605,127.103495,,,,,,,,,,,,,,,,,,,,
㈜원에이넷,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜브이알덕,,,,,,,,,,,,,,,,,,,,,,
탐라엔씨㈜,37.6443943,127.0229968,,,,,,,,,,,,,,,,,,,,
㈜레뷰코퍼레이션,37.5149133,127.0275306,,,,,,,,,,,,,,,,,,,,
㈜진지한컴퍼니,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜아반트코리아,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜캐스트폭스,37.4845132,126.9824524,,,,,,,,,,,,,,,,,,,,
㈜세나클소프트,37.5023351,127.044391,,,,,,,,,,,,,,,,,,,,
㈜씨이십일케이,37.5058361,127.0601719,,,,,,,,,,,,,,,,,,,,
대로건설㈜,37.5365371,126.9011723,,,,,,,,,,,,,,,,,,,,
㈜일레븐코퍼레이션,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
㈜퓨쳐스콜레,37.5478789,127.0441053,,,,,,,,,,,,,,,,,,,,
㈜아이엠비디엑스,37.4773774,126.8823162,,,,,,,,,,,,,,,,,,,,
㈜오시리스시스템즈,37.5074538,127.0571611,,,,,,,,,,,,,,,,,,,,
㈜미래손,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜프리머스,37.5729503,126.9793579,,,,,,,,,,,,,,,,,,,,
㈜리얼디자인테크,37.3660955,127.1066272,,,,,,,,,,,,,,,,,,,,
㈜한진과학,37.6853815,127.0457197,,,,,,,,,,,,,,,,,,,,
㈜스마투스,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜스펙터,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜티씨에스건설,37.4788579,127.0500583,,,,,,,,,,,,,,,,,,,,
㈜트레이,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
에이에스티인터내셔널㈜,37.5163268,127.1040152,,,,,,,,,,,,,,,,,,,,
㈜아토즈소프트,37.5475127,127.064007,,,,,,,,,,,,,,,,,,,,
㈜코너스톤벤처스,37.5085791,127.0641676,,,,,,,,,,,,,,,,,,,,
㈜그린썸스튜디오,37.5091633,127.0333245,,,,,,,,,,,,,,,,,,,,
