연번,상가유형,호선,역명,상가번호,면적,계약시작일자,계약종료일자,월임대료,사업진행단계
1,개별(일반),1,서울(1)역,150-107,33,2019-05-08,2024-06-06,527100,
2,개별(일반),1,시청(1)역,151-101,29.73,2022-08-02,2027-08-02,3166600,
3,개별(일반),1,시청(1)역,151-103,57.6,2020-02-01,2025-01-31,1858300,
4,개별(일반),1,시청(1)역,151-104,25,2020-12-31,2026-01-30,2470600,
5,네트워크,1,시청(1)역,151-105,25,2021-06-03,2026-08-02,4145884,
6,개별(일반),1,시청(1)역,151-106,14,2017-09-19,2022-11-17,1801800,
7,개별(일반),1,시청(1)역,151-107,22,2020-09-18,2025-10-18,2613800,
8,공실(임대진행),1,종각역,152-101,36.85,,,,5단계. 입찰공고
9,공실,1,종각역,152-104,18.64,,,,1단계. 사업계획 수립중
10,네트워크,1,종각역,152-105,29.3,2022-06-09,2027-06-08,6558547,
11,공실,1,종각역,152-106,30.7,,,,1단계. 사업계획 수립중
12,개별(일반),1,종각역,152-107,11,2021-10-06,2026-11-05,2450000,
13,개별(일반),1,종각역,152-108,12,2021-08-23,2026-09-22,5680000,
14,공실,1,종각역,152-109,42,,,,1단계. 사업계획 수립중
15,개별(일반),1,종각역,152-110,23.14,2022-08-08,2027-09-07,2310000,
16,공실,1,종각역,152-111,16.15,,,,1단계. 사업계획 수립중
17,공실,1,종각역,152-112,21.82,,,,2단계. 시설물 점검
18,개별(일반),1,종각역,152-113,19.14,2022-08-08,2027-09-07,4330000,
19,공실,1,종각역,152-114,29.62,,,,1단계. 사업계획 수립중
20,개별(일반),1,종각역,152-115,29.4,2020-02-24,2025-03-25,8130000,
21,개별(일반),1,종로3가(1)역,153-101,23.4,2018-10-23,2023-11-21,2260000,
22,개별(일반),1,종로3가(1)역,153-102,17.6,2021-08-13,2026-09-12,3550000,
23,공실(임대진행),1,종로3가(1)역,153-104,15,,,,5단계. 입찰공고
24,개별(일반),1,종로3가(1)역,153-106,26,2018-08-14,2023-09-12,4350000,
25,공실,1,종로3가(1)역,153-107,63.95,,,,2단계. 시설물 점검
26,개별(일반),1,종로5가역,154-101,25.13,2021-09-03,2026-10-03,5310000,
27,개별(일반),1,종로5가역,154-107,16.16,2021-09-02,2026-10-02,4110000,
28,개별(일반),1,동묘앞(1)역,159-201,17.7,2020-10-19,2025-11-18,3550000,
29,개별(일반),2,을지로입구역,202-101,85.1,2019-06-01,2024-05-31,2900000,
30,개별(일반),2,을지로입구역,202-102,16.7,2021-08-19,2026-08-19,14500000,
31,개별(일반),2,을지로입구역,202-103,17.2,2022-06-07,2027-06-07,15450000,
32,개별(일반),2,을지로입구역,202-104,17.2,2019-10-15,2024-11-13,14993000,중도해지신청
33,개별(일반),2,을지로입구역,202-105,16.7,2019-12-12,2025-01-10,14403100,
34,개별(일반),2,을지로입구역,202-106,33.9,2021-06-07,2026-07-07,8176600,
35,개별(일반),2,을지로입구역,202-108,32.51,2021-01-04,2026-02-03,12350000,
36,공실(임대진행),2,을지로입구역,202-110,32.2,,,,3단계. 감정평가
37,개별(일반),2,을지로입구역,202-111,17.6,2021-01-04,2026-02-03,6150000,
38,공실(임대진행),2,을지로입구역,202-113,19.47,,,,4단계. 방침수립
39,공실(임대진행),2,을지로입구역,202-114,180,,,,3단계. 감정평가
40,공실(임대진행),2,을지로입구역,202-119,,,,,3단계. 감정평가
41,개별(일반),2,을지로입구역,202-115,26.82,2020-12-21,2026-01-20,5600000,
42,개별(일반),2,을지로입구역,202-116,75.95,2017-11-07,2022-12-06,16137100,
43,네트워크,2,을지로입구역,202-117,16,2021-02-01,2026-06-01,4964659,
44,네트워크,2,을지로입구역,202-118,40,2021-06-03,2026-08-02,5081616,
45,네트워크,2,을지로입구역,202-120,19,2018-11-27,2024-01-25,1914866,
46,개별(일반),2,을지로3가(2)역,203-101,16.2,2020-10-14,2025-11-13,823300,
47,개별(일반),2,을지로3가(2)역,203-102,16.2,2020-11-02,2025-12-02,603600,
48,개별(일반),2,을지로3가(2)역,203-108,11.5,2022-07-28,2027-07-27,636000,
49,개별(일반),2,을지로3가(2)역,203-110,11.5,2019-04-02,2024-05-01,816600,
50,개별(일반),2,을지로3가(2)역,203-112,26,2019-04-02,2024-05-01,1259100,
51,개별(일반),2,을지로3가(2)역,203-114,13,2022-02-21,2027-03-23,905000,
52,개별(일반),2,을지로3가(2)역,203-115,18.96,2020-11-26,2026-01-10,450000,
53,공실(임대진행),2,을지로3가(2)역,203-116,27.9,,,,5단계. 입찰공고
54,개별(일반),2,을지로4가(2)역,204-105,22.84,2022-04-01,2027-04-01,1040000,
55,개별(일반),2,을지로4가(2)역,204-107,23.2,2022-07-28,2027-07-27,501000,
56,개별(일반),2,을지로4가(2)역,204-108,14.9,2021-06-16,2026-07-16,330000,
57,공실(임대진행),2,을지로4가(2)역,204-109,14.9,,,,5단계. 입찰공고
58,개별(일반),2,을지로4가(2)역,204-110,14.9,2022-06-09,2027-06-09,495000,
59,네트워크,2,을지로4가(2)역,204-112,38,2018-01-08,2023-02-16,2143653,
60,개별(일반),2,을지로4가(2)역,204-113,32.8,2020-11-02,2025-12-02,1466600,
